sample,n_class_A_carbapenemase_plasmidial,prop_carbapenemase_BD_plasmidial,n_esbl_plasmidial,n_genes_efflux_plasmidial,pct_contigs_plasmidial,n_plasmids_com_conjugacao,gc_diff_plasmid_cromossomo,Species,WHO_Priority
GCA_004116835.1,0,0,0,0,0.0,0,-1.1496299943541561,Escherichia coli,Critical
GCA_004116595.1,0,0,0,0,0.0,0,-1.1999658771597876,Escherichia coli,Critical
GCA_004116695.1,0,0,0,0,66.66666666666666,1,-8.269999999999996,Escherichia coli,Critical
GCA_004116795.1,0,0,0,0,83.33333333333334,1,3.140000000000001,Escherichia coli,Critical
GCA_004116815.1,0,0,0,1,40.0,0,1.8799999999999957,Escherichia coli,Critical
GCA_004116855.1,0,0,0,0,0.0,0,-1.0762648967524182,Escherichia coli,Critical
GCA_004116875.1,0,0,0,0,25.0,1,-6.980000000000004,Escherichia coli,Critical
GCA_004116895.1,0,0,1,3,71.42857142857143,1,1.1700000000000017,Escherichia coli,Critical
GCA_004116915.1,0,0,0,0,66.66666666666666,1,-5.649999999999999,Escherichia coli,Critical
GCA_004116935.1,0,0,1,3,87.5,1,0.75,Escherichia coli,Critical
GCA_004118895.1,0,0,0,0,66.66666666666666,2,-8.399999999999999,Escherichia coli,Critical
GCA_004211775.1,0,0,0,2,22.033898305084744,3,-1.8999999999999984,Escherichia coli,Critical
GCA_006517505.1,0,0,1,1,17.180616740088105,5,-1.6400000000000006,Escherichia coli,Critical
GCA_007858995.1,0,0,0,1,13.245033112582782,1,-1.9500000000000028,Escherichia coli,Critical
GCA_008180225.1,0,0,1,5,22.988505747126435,10,-1.1999999999999955,Escherichia coli,Critical
GCA_008180245.1,0,0,0,3,18.181818181818183,3,-1.3499999999999943,Escherichia coli,Critical
GCA_009799765.1,0,0,0,3,21.25,5,-1.0499999999999972,Escherichia coli,Critical
GCA_009901805.1,0,0,0,4,23.863636363636363,4,-0.6500000000000057,Escherichia coli,Critical
GCA_009932305.1,0,0,1,2,17.964071856287426,4,-1.6299999999999957,Escherichia coli,Critical
GCA_011290775.4,2,0,0,6,17.857142857142858,9,-1.8699999999999972,Escherichia coli,Critical
GCA_011812785.1,0,0,0,6,28.000000000000004,7,-1.5499999999999972,Escherichia coli,Critical
GCA_011812765.1,1,0,0,16,18.96551724137931,26,-0.5399999999999991,Escherichia coli,Critical
GCA_011812805.1,0,0,0,16,13.409961685823754,3,-1.0300000000000011,Escherichia coli,Critical
GCA_011812795.1,0,0,0,6,26.857142857142858,7,-1.5200000000000031,Escherichia coli,Critical
GCA_011812865.1,0,0,1,8,11.971830985915492,7,-1.7099999999999935,Escherichia coli,Critical
GCA_011812905.1,0,0,1,2,11.788617886178862,4,-2.4200000000000017,Escherichia coli,Critical
GCA_011812915.1,0,0,1,7,12.365591397849462,6,-1.7899999999999991,Escherichia coli,Critical
GCA_012726245.1,0,0,1,5,13.19796954314721,11,-1.8200000000000005,Escherichia coli,Critical
GCA_013293985.1,0,0,1,3,11.029411764705882,4,-2.4099999999999966,Escherichia coli,Critical
GCA_903932265.1,0,0,1,7,21.03825136612022,22,-1.5399999999999991,Escherichia coli,Critical
GCA_014145355.1,0,0,1,9,10.38961038961039,4,-1.4099999999999966,Escherichia coli,Critical
GCA_014145345.1,0,0,1,7,11.403508771929824,3,-0.8200000000000003,Escherichia coli,Critical
GCA_014894765.1,0,0,0,7,20.257234726688104,1,-0.5300000000000011,Escherichia coli,Critical
GCA_014926265.1,0,0,0,7,23.88059701492537,1,-0.4499999999999957,Escherichia coli,Critical
GCA_015374485.1,0,0,0,3,17.5531914893617,4,-2.6000000000000014,Escherichia coli,Critical
GCA_016760355.1,0,0,0,0,33.33333333333333,2,-0.6199999999999974,Escherichia coli,Critical
GCA_016760395.1,0,0,0,1,46.15384615384615,3,-1.0300000000000011,Escherichia coli,Critical
GCA_016760375.1,0,0,0,0,44.44444444444444,2,1.1599999999999966,Escherichia coli,Critical
GCA_016760405.1,0,0,0,2,29.411764705882355,4,-3.1599999999999966,Escherichia coli,Critical
GCA_016760415.1,0,0,0,1,62.5,3,-1.1600000000000037,Escherichia coli,Critical
GCA_016760455.1,0,0,1,1,41.66666666666667,2,-1.1999999999999955,Escherichia coli,Critical
GCA_016760465.1,0,0,1,1,54.54545454545454,3,-1.0600000000000025,Escherichia coli,Critical
GCA_016786245.1,0,0,0,2,8.633093525179856,1,-2.6000000000000014,Escherichia coli,Critical
GCA_017052575.1,0,0,0,9,16.666666666666664,10,-1.6899999999999975,Escherichia coli,Critical
GCA_017353385.1,0,0,0,3,8.23045267489712,5,-1.7600000000000051,Escherichia coli,Critical
GCA_018361365.1,0,1,0,4,71.42857142857143,2,-0.1400000000000005,Escherichia coli,Critical
GCA_018390445.1,0,0,0,2,17.391304347826086,3,-2.1000000000000014,Escherichia coli,Critical
GCA_019201615.1,0,0,1,3,6.666666666666667,2,-2.8400000000000034,Escherichia coli,Critical
GCA_019201665.1,0,0,0,3,17.12707182320442,3,-1.5600000000000025,Escherichia coli,Critical
GCA_019201685.1,1,0,0,1,16.666666666666664,2,0.7700000000000031,Escherichia coli,Critical
GCA_019201765.1,0,0,1,2,22.0,5,-2.75,Escherichia coli,Critical
GCA_019201705.1,0,1,1,5,27.692307692307693,3,0.3500000000000014,Escherichia coli,Critical
GCA_019201785.1,0,0,0,8,24.22907488986784,8,-1.7199999999999989,Escherichia coli,Critical
GCA_019201835.1,0,0,1,3,13.23529411764706,2,0.3900000000000005,Escherichia coli,Critical
GCA_019201715.1,0,0,0,0,23.4375,11,-0.1299999999999954,Escherichia coli,Critical
GCA_019201865.1,0,0,1,5,6.25,0,0.740000000000002,Escherichia coli,Critical
GCA_019201915.1,0,0,0,2,20.27027027027027,1,-2.8700000000000045,Escherichia coli,Critical
GCA_019201975.1,0,0,1,2,18.5792349726776,8,-1.9699999999999989,Escherichia coli,Critical
GCA_019201955.1,0,0,0,3,13.302752293577983,4,-1.3900000000000006,Escherichia coli,Critical
GCA_019201935.1,0,0,0,0,12.857142857142856,4,-1.0100000000000051,Escherichia coli,Critical
GCA_019202185.1,0,0,0,4,16.842105263157894,4,-0.5899999999999963,Escherichia coli,Critical
GCA_019202175.1,0,0,1,5,14.482758620689657,8,-2.539999999999999,Escherichia coli,Critical
GCA_019201995.1,0,0,0,2,21.487603305785125,6,-1.0,Escherichia coli,Critical
GCA_019202045.1,0,0,1,12,18.009478672985782,2,-0.980000000000004,Escherichia coli,Critical
GCA_019202015.1,0,0,0,14,22.71062271062271,19,-1.2800000000000011,Escherichia coli,Critical
GCA_019202035.1,0,0,0,4,12.704918032786884,6,-1.6600000000000037,Escherichia coli,Critical
GCA_019202075.1,0,0,2,2,21.568627450980397,5,0.0999999999999943,Escherichia coli,Critical
GCA_019202135.1,0,0,1,4,17.616580310880828,4,-0.3999999999999986,Escherichia coli,Critical
GCA_019202145.1,0,0,0,4,17.010309278350515,4,-0.3200000000000003,Escherichia coli,Critical
GCA_019202215.1,0,0,0,7,13.684210526315791,3,-1.1400000000000006,Escherichia coli,Critical
GCA_019202225.1,0,0,0,5,13.87900355871886,3,-1.3699999999999974,Escherichia coli,Critical
GCA_019202235.1,0,0,0,7,17.083333333333332,6,-1.3599999999999994,Escherichia coli,Critical
GCA_019202375.1,0,0,1,8,18.235294117647054,4,-0.509999999999998,Escherichia coli,Critical
GCA_019202335.1,0,0,0,3,19.718309859154928,4,-1.2199999999999989,Escherichia coli,Critical
GCA_019202285.1,0,0,0,2,27.819548872180448,3,-1.3399999999999963,Escherichia coli,Critical
GCA_019202415.1,0,0,0,8,14.102564102564102,2,-0.9399999999999976,Escherichia coli,Critical
GCA_019202435.1,0,1,0,11,20.0,3,-1.1499999999999986,Escherichia coli,Critical
GCA_019202475.1,0,0,0,3,22.22222222222222,8,-0.990000000000002,Escherichia coli,Critical
GCA_019202445.1,0,0,0,7,18.91891891891892,7,-0.9299999999999996,Escherichia coli,Critical
GCA_019202395.1,0,0,0,0,13.488372093023257,3,-1.7100000000000009,Escherichia coli,Critical
GCA_019202495.1,0,1,1,12,18.951612903225808,8,-1.9200000000000017,Escherichia coli,Critical
GCA_019202555.1,0,1,1,5,21.428571428571427,2,-1.8800000000000023,Escherichia coli,Critical
GCA_019202585.1,0,0,2,1,19.51219512195122,3,-3.0600000000000023,Escherichia coli,Critical
GCA_019202675.1,0,0,0,4,17.695473251028808,9,-2.5800000000000054,Escherichia coli,Critical
GCA_019202635.1,0,0,1,8,25.882352941176475,1,-0.6199999999999974,Escherichia coli,Critical
GCA_019202655.1,0,0,0,4,16.40625,4,-1.0899999999999963,Escherichia coli,Critical
GCA_019250015.1,0,0,0,2,11.956521739130435,2,-1.3000000000000045,Escherichia coli,Critical
GCA_019249915.1,0,0,1,17,22.07792207792208,9,-0.8100000000000023,Escherichia coli,Critical
GCA_019249955.1,0,0,0,1,14.285714285714285,6,-1.9600000000000009,Escherichia coli,Critical
GCA_019249965.1,1,0,0,6,23.72262773722628,20,-1.3700000000000043,Escherichia coli,Critical
GCA_019492145.1,0,1,1,5,10.824742268041238,2,-2.9099999999999966,Escherichia coli,Critical
GCA_021735985.1,0,0,1,7,20.833333333333336,6,-0.740000000000002,Escherichia coli,Critical
GCA_021736035.1,0,0,1,2,23.14410480349345,12,-1.2900000000000065,Escherichia coli,Critical
GCA_021736065.1,0,0,1,5,18.817204301075268,6,-0.9100000000000036,Escherichia coli,Critical
GCA_021736085.1,0,0,1,5,13.88888888888889,3,-0.019999999999996,Escherichia coli,Critical
GCA_021736125.1,0,0,1,11,15.68627450980392,3,0.5200000000000031,Escherichia coli,Critical
GCA_001611705.1,0,0,1,10,22.76422764227642,2,-0.8599999999999994,Escherichia coli,Critical
GCA_001611715.1,0,0,1,2,27.160493827160494,4,0.9099999999999966,Escherichia coli,Critical
GCA_001611725.1,0,0,0,4,33.57664233576642,6,-0.6500000000000057,Escherichia coli,Critical
GCA_023572405.1,0,1,2,2,23.684210526315788,9,-2.6000000000000014,Klebsiella oxytoca,Critical
GCA_002154825.1,1,0,2,11,40.625,8,-4.140000000000001,Klebsiella pneumoniae,Critical
GCA_002157345.1,0,0,1,1,15.204678362573098,2,-1.3100000000000025,Klebsiella pneumoniae,Critical
GCA_002192975.1,0,0,0,9,21.566110397946083,13,0.6899999999999977,Klebsiella pneumoniae,Critical
GCA_002209465.1,0,0,1,5,24.193548387096776,1,0.0499999999999971,Klebsiella pneumoniae,Critical
GCA_002251715.1,1,0,1,9,26.229508196721312,6,-1.1900000000000048,Klebsiella pneumoniae,Critical
GCA_002289105.1,1,0,1,4,27.058823529411764,2,-1.019999999999996,Klebsiella pneumoniae,Critical
GCA_002289165.1,1,0,4,6,38.83495145631068,5,-0.4099999999999966,Klebsiella pneumoniae,Critical
GCA_002295145.1,0,0,2,5,37.76223776223776,5,-2.559999999999995,Klebsiella pneumoniae,Critical
GCA_002295185.1,1,0,1,9,35.77235772357724,6,-1.3000000000000045,Klebsiella pneumoniae,Critical
GCA_002300715.1,1,0,2,8,21.951219512195124,3,-0.509999999999998,Klebsiella pneumoniae,Critical
GCA_002300725.1,1,0,1,3,30.666666666666664,4,-0.8900000000000006,Klebsiella pneumoniae,Critical
GCA_002300755.1,0,0,2,9,26.82926829268293,3,-0.3999999999999986,Klebsiella pneumoniae,Critical
GCA_002300765.1,1,0,1,6,31.70731707317073,6,-1.8300000000000052,Klebsiella pneumoniae,Critical
GCA_002300775.1,1,0,1,1,37.704918032786885,7,-2.6200000000000045,Klebsiella pneumoniae,Critical
GCA_002300785.1,1,0,3,3,23.655913978494624,0,0.8500000000000014,Klebsiella pneumoniae,Critical
GCA_002304205.1,0,0,2,11,36.95652173913043,6,-1.4200000000000017,Klebsiella pneumoniae,Critical
GCA_002529075.1,1,0,2,3,24.74916387959866,8,-1.2800000000000011,Klebsiella pneumoniae,Critical
GCA_002845885.1,0,0,0,0,0.0,0,-0.42910375530253764,Klebsiella pneumoniae,Critical
GCA_002845925.1,0,0,0,0,0.0,0,-1.565046158063304,Klebsiella pneumoniae,Critical
GCA_002887435.1,0,0,0,0,66.66666666666666,1,-7.100000000000001,Klebsiella pneumoniae,Critical
GCA_003097475.1,0,0,1,8,21.59709618874773,8,-1.3400000000000034,Klebsiella pneumoniae,Critical
GCA_003095495.1,1,0,1,6,19.37869822485207,9,-1.5900000000000034,Klebsiella pneumoniae,Critical
GCA_003095455.1,1,0,1,1,19.33884297520661,11,-1.8699999999999972,Klebsiella pneumoniae,Critical
GCA_003284835.1,1,0,3,6,19.71608832807571,8,-1.5,Klebsiella pneumoniae,Critical
GCA_900322595.1,1,0,2,2,23.404255319148938,3,-0.7899999999999991,Klebsiella pneumoniae,Critical
GCA_900322605.1,1,0,2,7,36.27450980392157,18,0.3200000000000003,Klebsiella pneumoniae,Critical
GCA_900322615.1,0,0,3,3,34.14634146341464,9,-1.1799999999999995,Klebsiella pneumoniae,Critical
GCA_900322625.1,1,0,2,7,36.507936507936506,9,-0.480000000000004,Klebsiella pneumoniae,Critical
GCA_900322635.1,0,0,0,6,27.500000000000004,8,-0.0700000000000002,Klebsiella pneumoniae,Critical
GCA_900322645.1,1,0,2,7,44.4954128440367,28,-1.7199999999999989,Klebsiella pneumoniae,Critical
GCA_900322655.1,0,0,0,1,38.613861386138616,6,-2.260000000000005,Klebsiella pneumoniae,Critical
GCA_900322665.1,0,0,3,4,42.85714285714285,11,-2.969999999999999,Klebsiella pneumoniae,Critical
GCA_003318315.1,0,0,1,4,23.577235772357724,9,-2.1599999999999966,Klebsiella pneumoniae,Critical
GCA_003321095.1,1,0,1,4,13.445378151260504,4,-0.75,Klebsiella pneumoniae,Critical
GCA_003321105.1,1,0,2,3,20.846394984326015,11,-3.3200000000000003,Klebsiella pneumoniae,Critical
GCA_003321135.1,1,0,0,5,15.294117647058824,5,-0.8700000000000045,Klebsiella pneumoniae,Critical
GCA_003321155.1,1,0,1,6,14.04494382022472,7,-0.8599999999999994,Klebsiella pneumoniae,Critical
GCA_003321195.1,1,0,2,5,25.925925925925924,6,-0.7899999999999991,Klebsiella pneumoniae,Critical
GCA_003321215.1,1,0,3,6,17.48633879781421,9,-1.1000000000000014,Klebsiella pneumoniae,Critical
GCA_003321225.1,0,0,3,2,22.593320235756384,13,-0.5700000000000003,Klebsiella pneumoniae,Critical
GCA_003321235.1,0,0,1,6,20.84468664850136,14,-1.6000000000000014,Klebsiella pneumoniae,Critical
GCA_003321255.1,0,0,1,7,21.544715447154477,10,-1.1899999999999975,Klebsiella pneumoniae,Critical
GCA_003321295.1,1,0,2,1,23.705179282868528,11,-0.8999999999999986,Klebsiella pneumoniae,Critical
GCA_003321305.1,1,0,3,8,21.861471861471863,8,-1.1900000000000048,Klebsiella pneumoniae,Critical
GCA_003321315.1,1,0,2,4,23.817292006525285,18,-2.8500000000000014,Klebsiella pneumoniae,Critical
GCA_003321335.1,1,0,3,4,21.484375,9,-1.75,Klebsiella pneumoniae,Critical
GCA_003321375.1,1,0,3,5,23.044397463002117,9,-1.5799999999999983,Klebsiella pneumoniae,Critical
GCA_003321385.1,0,0,2,6,22.62569832402235,5,-0.6400000000000006,Klebsiella pneumoniae,Critical
GCA_003321425.1,1,0,0,6,21.256038647342997,4,0.720000000000006,Klebsiella pneumoniae,Critical
GCA_003325525.1,0,0,4,5,21.49532710280374,5,-2.1000000000000014,Klebsiella pneumoniae,Critical
GCA_003326285.1,1,0,0,5,18.471337579617835,5,-2.219999999999999,Klebsiella pneumoniae,Critical
GCA_003326295.1,1,0,3,7,23.684210526315788,9,-2.979999999999997,Klebsiella pneumoniae,Critical
GCA_003326305.1,1,0,0,7,15.88235294117647,6,-1.5399999999999991,Klebsiella pneumoniae,Critical
GCA_003326315.1,1,0,0,8,16.184971098265898,6,-1.93,Klebsiella pneumoniae,Critical
GCA_003326365.1,1,0,1,5,17.307692307692307,5,-1.7100000000000009,Klebsiella pneumoniae,Critical
GCA_003326375.1,1,0,1,6,13.924050632911392,5,-1.8500000000000012,Klebsiella pneumoniae,Critical
GCA_003326395.1,1,0,2,6,13.24200913242009,4,-1.4100000000000037,Klebsiella pneumoniae,Critical
GCA_003327585.1,1,0,1,8,18.4,5,-0.4699999999999988,Klebsiella pneumoniae,Critical
GCA_003338595.1,1,0,1,5,25.24271844660194,13,-1.2999999999999972,Klebsiella pneumoniae,Critical
GCA_003432105.1,1,0,1,4,42.66666666666667,19,-2.059999999999995,Klebsiella pneumoniae,Critical
GCA_003574235.1,0,1,2,2,66.66666666666666,2,-9.71,Klebsiella pneumoniae,Critical
GCA_003576025.1,1,0,1,9,30.935251798561158,8,-2.640000000000001,Klebsiella pneumoniae,Critical
GCA_003789125.1,1,0,2,5,9.00900900900901,5,-0.6799999999999997,Klebsiella pneumoniae,Critical
GCA_001720345.1,1,0,2,9,42.34234234234234,8,-4.109999999999999,Klebsiella pneumoniae,Critical
GCA_005222595.1,1,0,2,4,22.608695652173918,3,-2.280000000000001,Klebsiella pneumoniae,Critical
GCA_006152045.1,0,0,3,3,22.36842105263158,2,0.0399999999999991,Klebsiella pneumoniae,Critical
GCA_006152055.1,0,1,2,5,3.213610586011342,2,-0.8099999999999952,Klebsiella pneumoniae,Critical
GCA_006152075.1,0,0,2,3,19.718309859154928,1,0.0400000000000062,Klebsiella pneumoniae,Critical
GCA_006517515.1,0,0,2,11,24.742268041237114,8,-1.7000000000000028,Klebsiella pneumoniae,Critical
GCA_009857735.1,0,0,1,2,11.6751269035533,3,0.269999999999996,Klebsiella pneumoniae,Critical
GCA_009857775.1,0,0,2,2,13.084112149532707,5,-0.0700000000000002,Klebsiella pneumoniae,Critical
GCA_009898155.1,1,1,3,7,38.75,21,-0.3999999999999986,Klebsiella pneumoniae,Critical
GCA_009898185.1,1,1,3,13,41.104294478527606,12,-1.5700000000000005,Klebsiella pneumoniae,Critical
GCA_011037215.1,1,0,1,8,14.925373134328357,11,-1.25,Klebsiella pneumoniae,Critical
GCA_011037245.1,1,0,1,8,21.21212121212121,2,-0.0300000000000011,Klebsiella pneumoniae,Critical
GCA_011037225.1,1,0,1,5,22.115384615384613,4,0.0300000000000011,Klebsiella pneumoniae,Critical
GCA_011037345.1,1,0,1,6,22.93577981651376,4,0.1799999999999997,Klebsiella pneumoniae,Critical
GCA_011037375.1,1,0,1,5,22.77227722772277,4,-0.519999999999996,Klebsiella pneumoniae,Critical
GCA_011037315.1,1,0,1,6,21.052631578947366,2,0.4699999999999988,Klebsiella pneumoniae,Critical
GCA_011037335.1,1,0,1,10,25.925925925925924,6,-2.1700000000000017,Klebsiella pneumoniae,Critical
GCA_011037275.1,1,0,1,5,22.68041237113402,4,-2.0,Klebsiella pneumoniae,Critical
GCA_011037295.1,1,0,1,5,22.429906542056077,4,-0.25,Klebsiella pneumoniae,Critical
GCA_011037415.1,1,0,2,10,27.86885245901639,5,-1.0400000000000065,Klebsiella pneumoniae,Critical
GCA_011037435.1,1,0,2,12,22.137404580152676,5,-0.990000000000002,Klebsiella pneumoniae,Critical
GCA_011037395.1,1,0,1,3,31.15264797507788,12,-1.0,Klebsiella pneumoniae,Critical
GCA_011037455.1,1,0,1,6,30.53435114503817,7,-1.7199999999999989,Klebsiella pneumoniae,Critical
GCA_011037475.1,1,0,1,5,28.92561983471074,9,-1.9699999999999989,Klebsiella pneumoniae,Critical
GCA_011037655.1,0,0,3,3,34.87179487179487,23,-2.469999999999999,Klebsiella pneumoniae,Critical
GCA_011037635.1,0,0,2,5,19.913419913419915,35,-1.1600000000000037,Klebsiella pneumoniae,Critical
GCA_011037495.1,1,0,1,6,18.857142857142858,7,-1.6000000000000014,Klebsiella pneumoniae,Critical
GCA_011037515.1,1,0,2,4,28.31858407079646,8,-2.280000000000001,Klebsiella pneumoniae,Critical
GCA_011037555.1,1,0,2,5,30.55555555555556,17,-1.0,Klebsiella pneumoniae,Critical
GCA_011037535.1,1,0,3,4,32.0,22,-2.699999999999996,Klebsiella pneumoniae,Critical
GCA_011037595.1,1,0,2,9,29.19254658385093,10,-1.2399999999999949,Klebsiella pneumoniae,Critical
GCA_011037575.1,1,0,2,8,23.404255319148938,6,-2.1499999999999986,Klebsiella pneumoniae,Critical
GCA_011037615.1,1,0,2,4,31.360946745562128,24,-1.1700000000000017,Klebsiella pneumoniae,Critical
GCA_011037675.1,1,0,3,5,20.089285714285715,13,-1.3699999999999974,Klebsiella pneumoniae,Critical
GCA_011037955.1,1,0,2,8,23.4375,10,-1.6500000000000057,Klebsiella pneumoniae,Critical
GCA_011037925.1,0,0,2,8,32.23684210526316,9,-0.8699999999999974,Klebsiella pneumoniae,Critical
GCA_011037755.1,1,0,3,4,23.655913978494624,6,-0.9299999999999996,Klebsiella pneumoniae,Critical
GCA_011037885.1,1,0,1,7,28.93081761006289,11,-2.519999999999996,Klebsiella pneumoniae,Critical
GCA_011037945.1,0,0,1,7,28.000000000000004,9,-1.4799999999999969,Klebsiella pneumoniae,Critical
GCA_011037775.1,1,0,3,5,23.49397590361446,9,-0.9599999999999936,Klebsiella pneumoniae,Critical
GCA_011037715.1,1,0,1,6,26.36363636363636,7,-1.3100000000000025,Klebsiella pneumoniae,Critical
GCA_011037995.1,1,0,1,5,37.05882352941177,13,-2.480000000000004,Klebsiella pneumoniae,Critical
GCA_011038015.1,1,0,1,4,30.0,10,-2.6299999999999955,Klebsiella pneumoniae,Critical
GCA_011038155.1,1,0,2,2,34.645669291338585,18,-5.25,Klebsiella pneumoniae,Critical
GCA_011038035.1,1,0,2,7,18.14516129032258,13,-0.5999999999999943,Klebsiella pneumoniae,Critical
GCA_011038095.1,1,0,1,4,26.956521739130437,8,-1.5600000000000025,Klebsiella pneumoniae,Critical
GCA_011038065.1,1,0,2,3,33.33333333333333,22,-2.239999999999995,Klebsiella pneumoniae,Critical
GCA_011038115.1,1,0,1,4,27.049180327868854,9,-0.9699999999999988,Klebsiella pneumoniae,Critical
GCA_011038135.1,1,0,1,7,26.51515151515152,8,-1.4399999999999975,Klebsiella pneumoniae,Critical
GCA_011038055.1,1,0,2,6,26.72413793103448,8,-2.6000000000000014,Klebsiella pneumoniae,Critical
GCA_011037865.1,1,0,1,6,30.833333333333336,10,-2.9000000000000057,Klebsiella pneumoniae,Critical
GCA_011038215.1,1,0,1,0,29.28571428571429,12,-3.720000000000006,Klebsiella pneumoniae,Critical
GCA_011038195.1,1,0,2,4,22.58064516129032,3,-0.6900000000000048,Klebsiella pneumoniae,Critical
GCA_011038175.1,1,0,1,0,37.86407766990291,21,-1.949999999999996,Klebsiella pneumoniae,Critical
GCA_011038255.1,1,0,1,3,31.25,22,-2.910000000000004,Klebsiella pneumoniae,Critical
GCA_011038355.1,0,0,1,2,29.32692307692308,18,-5.439999999999998,Klebsiella pneumoniae,Critical
GCA_011038315.1,1,0,1,6,25.654450261780102,14,-1.5300000000000011,Klebsiella pneumoniae,Critical
GCA_011038335.1,0,0,2,9,28.08988764044944,23,-3.969999999999999,Klebsiella pneumoniae,Critical
GCA_011038265.1,0,0,2,3,18.493150684931507,5,0.3000000000000042,Klebsiella pneumoniae,Critical
GCA_011038235.1,1,0,1,7,28.57142857142857,19,-1.009999999999998,Klebsiella pneumoniae,Critical
GCA_011038295.1,0,0,1,2,29.565217391304348,20,-3.4200000000000017,Klebsiella pneumoniae,Critical
GCA_011038365.1,1,0,0,6,17.51824817518248,5,-2.8500000000000014,Klebsiella pneumoniae,Critical
GCA_011038395.1,0,0,1,2,25.165562913907287,15,-3.140000000000001,Klebsiella pneumoniae,Critical
GCA_011038415.1,0,0,3,3,27.918781725888326,15,-1.2899999999999991,Klebsiella pneumoniae,Critical
GCA_011038425.1,1,0,2,2,33.08270676691729,18,-6.399999999999999,Klebsiella pneumoniae,Critical
GCA_011038475.1,1,0,1,5,27.96208530805687,18,-1.3100000000000025,Klebsiella pneumoniae,Critical
GCA_011038455.1,1,0,2,2,35.2,16,-1.6300000000000026,Klebsiella pneumoniae,Critical
GCA_011038515.1,1,0,1,2,32.89473684210527,9,-1.7600000000000051,Klebsiella pneumoniae,Critical
GCA_011038495.1,1,0,1,5,30.69306930693069,22,-3.030000000000001,Klebsiella pneumoniae,Critical
GCA_011601045.1,1,0,1,4,21.818181818181817,7,-0.7199999999999989,Klebsiella pneumoniae,Critical
GCA_011037685.1,0,0,3,8,15.72192513368984,46,-1.509999999999998,Klebsiella pneumoniae,Critical
GCA_012102235.1,1,0,1,4,29.7029702970297,6,-0.779999999999994,Klebsiella pneumoniae,Critical
GCA_012955865.1,1,0,3,5,30.952380952380956,23,-1.1000000000000014,Klebsiella pneumoniae,Critical
GCA_012955905.1,1,0,2,6,15.88235294117647,8,-2.010000000000005,Klebsiella pneumoniae,Critical
GCA_012955875.1,1,0,3,5,33.125,23,-1.2800000000000011,Klebsiella pneumoniae,Critical
GCA_012955925.1,1,0,1,6,18.75,1,0.7000000000000028,Klebsiella pneumoniae,Critical
GCA_012956625.1,0,0,1,6,15.432098765432098,5,-1.4499999999999955,Klebsiella pneumoniae,Critical
GCA_012956605.1,0,0,1,6,20.0,6,-1.0900000000000034,Klebsiella pneumoniae,Critical
GCA_012956645.1,0,0,2,4,16.546762589928058,4,-0.8399999999999963,Klebsiella pneumoniae,Critical
GCA_013138485.1,0,0,3,8,35.526315789473685,8,-1.990000000000002,Klebsiella pneumoniae,Critical
GCA_013372785.1,1,0,1,4,34.45378151260504,15,-2.93,Klebsiella pneumoniae,Critical
GCA_014323585.1,1,0,1,8,23.684210526315788,4,0.259999999999998,Klebsiella pneumoniae,Critical
GCA_014323625.1,1,0,1,4,39.50617283950617,10,-1.3099999999999952,Klebsiella pneumoniae,Critical
GCA_014323715.1,1,0,1,8,20.8955223880597,5,-1.1599999999999966,Klebsiella pneumoniae,Critical
GCA_014451135.1,0,0,2,3,18.79194630872483,4,0.019999999999996,Klebsiella pneumoniae,Critical
GCA_014451175.1,1,0,2,8,26.72413793103448,8,-0.4699999999999988,Klebsiella pneumoniae,Critical
GCA_014451185.1,0,0,2,8,29.87012987012987,7,-0.0600000000000022,Klebsiella pneumoniae,Critical
GCA_014451215.1,1,0,1,3,20.161290322580644,5,-1.7899999999999991,Klebsiella pneumoniae,Critical
GCA_014451235.1,0,0,2,11,20.666666666666668,3,-1.1400000000000006,Klebsiella pneumoniae,Critical
GCA_014451245.1,1,0,2,4,26.36363636363636,5,-1.4399999999999975,Klebsiella pneumoniae,Critical
GCA_014451255.1,1,0,3,9,24.786324786324787,5,-0.2300000000000039,Klebsiella pneumoniae,Critical
GCA_014451275.1,1,0,1,3,19.863013698630137,5,-1.7199999999999989,Klebsiella pneumoniae,Critical
GCA_014451315.1,1,0,2,6,17.753623188405797,13,-0.8300000000000054,Klebsiella pneumoniae,Critical
GCA_014500765.1,1,0,2,2,25.384615384615383,5,-1.9699999999999989,Klebsiella pneumoniae,Critical
GCA_014500785.1,1,0,2,2,29.28571428571429,6,-1.6300000000000026,Klebsiella pneumoniae,Critical
GCA_014500805.1,1,0,1,5,21.71717171717172,7,-1.2800000000000011,Klebsiella pneumoniae,Critical
GCA_014500815.1,1,0,2,2,27.08333333333333,5,-2.1899999999999977,Klebsiella pneumoniae,Critical
GCA_014500845.1,1,0,0,1,62.5,2,-5.079999999999998,Klebsiella pneumoniae,Critical
GCA_014500865.1,0,0,3,4,21.782178217821784,2,-1.3300000000000054,Klebsiella pneumoniae,Critical
GCA_014524525.1,1,0,2,1,85.71428571428571,3,-5.050000000000004,Klebsiella pneumoniae,Critical
GCA_014833135.1,1,0,1,5,41.90476190476191,14,-2.460000000000001,Klebsiella pneumoniae,Critical
GCA_014894805.1,0,0,2,4,24.68354430379747,17,-2.3000000000000043,Klebsiella pneumoniae,Critical
GCA_015666325.1,1,0,3,6,39.32038834951456,26,-1.9699999999999989,Klebsiella pneumoniae,Critical
