Species,Source,Date,Location,sample_x,BioSample,Estado,Região,sample_y,vfdb_adherence,vfdb_antimicrobial_activity_competitive_advantage,vfdb_biofilm,vfdb_effector_delivery_system,vfdb_exoenzyme,vfdb_exotoxin,vfdb_immune_modulation,vfdb_invasion,vfdb_motility,vfdb_nutritional_metabolic_factor,vfdb_others,vfdb_post-translational_modification,vfdb_regulation,vfdb_stress_survival,sample_id
Neisseria meningitidis,oropharynx,2016.0,"Rio de Janeiro, UFRJ",GCA_022696205.1,SAMN11845759,RJ,Sudeste,GCA_022696205.1_ASM2269620v1_genomic,25.0,5.0,0.0,0.0,0.0,0.0,18.0,5.0,0.0,9.0,0.0,0.0,0.0,6.0,GCA_022696205.1
Neisseria meningitidis,cerebrospinal fluid,1990.0,"Rio de Janeiro, Bangu",GCA_030324065.1,SAMN03286962,RJ,Sudeste,GCA_030324065.1_ASM3032406v1_genomic,20.0,5.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_030324065.1
Neisseria meningitidis,cerebrospinal fluid,2003.0,"Pernambuco, Recife",GCA_030324085.1,SAMN03286963,PE,Nordeste,GCA_030324085.1_ASM3032408v1_genomic,25.0,5.0,0.0,1.0,0.0,0.0,21.0,5.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_030324085.1
Neisseria meningitidis,CSF,2004.0,RJ,GCA_030500645.1,SAMN28811449,RJ,Sudeste,GCA_030500645.1_ASM3050064v1_genomic,19.0,5.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_030500645.1
Neisseria meningitidis,CSF,2004.0,RJ,GCA_030500635.1,SAMN28811448,RJ,Sudeste,GCA_030500635.1_ASM3050063v1_genomic,19.0,5.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_030500635.1
Neisseria meningitidis,CSF,1996.0,BA,GCA_030500665.1,SAMN28811447,BA,Nordeste,GCA_030500665.1_ASM3050066v1_genomic,19.0,5.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,10.0,0.0,0.0,0.0,6.0,GCA_030500665.1
Neisseria meningitidis,CSF,1996.0,BA,GCA_030503955.1,SAMN28811445,BA,Nordeste,GCA_030503955.1_ASM3050395v1_genomic,20.0,5.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,10.0,0.0,0.0,0.0,6.0,GCA_030503955.1
Neisseria meningitidis,CSF,1996.0,BA,GCA_030500695.1,SAMN28811446,BA,Nordeste,GCA_030500695.1_ASM3050069v1_genomic,19.0,5.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,10.0,0.0,0.0,0.0,6.0,GCA_030500695.1
Neisseria meningitidis,,1997.0,Brazil,GCA_000785065.1,SAMN03020379,,,GCA_000785065.1_ASM78506v1_genomic,21.0,5.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_000785065.1
Neisseria meningitidis,,2001.0,Brazil,GCA_000800235.1,SAMN03020302,,,GCA_000800235.1_ASM80023v1_genomic,21.0,5.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_000800235.1
Mycobacterium kyorinense,sputum,2007.0,Rio de Janeiro,GCF_001439515.1,SAMN04196478,RJ,Sudeste,GCF_001439515.1_ASM143951v1_genomic,3.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,9.0,2.0,GCF_001439515.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066835.1,SAMN40603086,SP,Sul,GCA_038066835.1_ASM3806683v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,GCA_038066835.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066855.1,SAMN40603087,SP,Sul,GCA_038066855.1_ASM3806685v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,GCA_038066855.1
Burkholderia contaminans,urine,2023.0,Sao Paulo,GCA_038066795.1,SAMN40603089,SP,Sul,GCA_038066795.1_ASM3806679v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,GCA_038066795.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066775.1,SAMN40603091,SP,Sul,GCA_038066775.1_ASM3806677v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,GCA_038066775.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066895.1,SAMN40603085,SP,Sul,GCA_038066895.1_ASM3806689v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,GCA_038066895.1
Burkholderia contaminans,urine,2023.0,Sao Paulo,GCA_038066815.1,SAMN40603090,SP,Sul,GCA_038066815.1_ASM3806681v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,GCA_038066815.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066875.1,SAMN40603088,SP,Sul,GCA_038066875.1_ASM3806687v1_genomic,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,GCA_038066875.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066915.1,SAMN40603084,SP,Sul,GCA_038066915.1_ASM3806691v1_genomic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,GCA_038066915.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066995.1,SAMN40603080,SP,Sul,GCA_038066995.1_ASM3806699v1_genomic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,GCA_038066995.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038067015.1,SAMN40603079,SP,Sul,GCA_038067015.1_ASM3806701v1_genomic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,GCA_038067015.1
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066955.1,SAMN40603081,SP,Sul,GCA_038066955.1_ASM3806695v1_genomic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,GCA_038066955.1
Kluyvera ascorbata,abdominal collection,2016.0,Porto Alegre,GCA_003789135.1,SAMN10265530,RS,Sul,GCA_003789135.1_ASM378913v1_genomic,0.0,2.0,5.0,0.0,0.0,1.0,2.0,2.0,17.0,5.0,0.0,0.0,3.0,0.0,GCA_003789135.1
Bordetella pertussis,respiratory tract,2004.0,"Belem, PA",GCA_020536205.1,SAMN05776224,PA,Norte,GCA_020536205.1_ASM2053620v1_genomic,11.0,0.0,0.0,36.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GCA_020536205.1
Bordetella pertussis,respiratory tract,2013.0,Pernambuco,GCA_020622445.1,SAMN05783037,PE,Nordeste,GCA_020622445.1_ASM2062244v1_genomic,11.0,0.0,0.0,36.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GCA_020622445.1
Bordetella pertussis,respiratory tract,2004.0,"Belem, PA",GCA_020622465.1,SAMN05782317,PA,Norte,GCA_020622465.1_ASM2062246v1_genomic,11.0,0.0,0.0,36.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GCA_020622465.1
Bordetella pertussis,respiratory tract,2008.0,Rio Grande do Sul,GCA_020622475.1,SAMN05784484,RS,Sul,GCA_020622475.1_ASM2062247v1_genomic,11.0,0.0,0.0,36.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GCA_020622475.1
Bordetella pertussis,mucus,2011.0,Rio de Janeiro,GCA_020622525.1,SAMN02940632,RJ,Sudeste,GCA_020622525.1_ASM2062252v1_genomic,10.0,0.0,0.0,36.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GCA_020622525.1
Raoultella ornithinolytica,blood,2022.0,Sao Paulo,GCA_031630275.1,SAMN30951049,SP,Sul,GCA_031630275.1_ASM3163027v1_genomic,6.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,21.0,0.0,0.0,4.0,0.0,GCA_031630275.1
Salmonella enterica,,1980.0,,GCF_000983195.1,SAMEA2639573,,,GCF_000983195.1_PA079_genomic,20.0,2.0,0.0,103.0,0.0,4.0,1.0,3.0,16.0,7.0,0.0,0.0,7.0,0.0,GCF_000983195.1
Citrobacter koseri,bronchoalveolar lavage,2016.0,Brazil,GCA_029083905.1,SAMN31066043,,,GCA_029083905.1_ASM2908390v1_genomic,10.0,1.0,3.0,0.0,0.0,19.0,2.0,1.0,21.0,24.0,0.0,0.0,7.0,0.0,GCA_029083905.1
Citrobacter freundii,,2003.0,Brazil,GCA_026526975.2,SAMN31929640,,,GCA_026526975.2_ASM2652697v2_genomic,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,5.0,0.0,0.0,5.0,0.0,GCA_026526975.2
Citrobacter freundii,Other clinical sources,2022.0,Sao Paulo,GCA_031630695.1,SAMN30951024,SP,Sul,GCA_031630695.1_ASM3163069v1_genomic,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,15.0,0.0,0.0,5.0,0.0,GCA_031630695.1
Citrobacter freundii,urine,2017.0,Sao Paulo,GCA_031630735.1,SAMN30951023,SP,Sul,GCA_031630735.1_ASM3163073v1_genomic,5.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,20.0,5.0,0.0,0.0,5.0,0.0,GCA_031630735.1
Citrobacter freundii,blood,2024.0,Sao Paulo,GCA_041901385.1,SAMN43428187,SP,Sul,GCA_041901385.1_ASM4190138v1_genomic,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,4.0,0.0,0.0,5.0,0.0,GCA_041901385.1
Citrobacter freundii,rectal swab,2015.0,Sao Paulo,GCA_013085885.1,SAMN13978991,SP,Sul,GCA_013085885.1_ASM1308588v1_genomic,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,5.0,0.0,0.0,5.0,0.0,GCA_013085885.1
Citrobacter freundii,Pleral fluid,2016.0,Recife,GCA_014926275.1,SAMN13908065,PE,Nordeste,GCA_014926275.1_ASM1492627v1_genomic,5.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,20.0,4.0,0.0,0.0,4.0,0.0,GCA_014926275.1
Enterococcus faecium,vascular catheter tip,1998.0,Brazil,GCA_000172875.1,SAMN02471504,,,GCA_000172875.1_ASM17287v1_genomic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GCA_000172875.1
Klebsiella aerogenes,Infective secretion,2019.0,Sao Paulo,GCA_026223795.1,SAMN30807023,SP,Sul,GCA_026223795.1_ASM2622379v1_genomic,6.0,2.0,0.0,8.0,0.0,0.0,3.0,1.0,6.0,15.0,0.0,0.0,3.0,0.0,GCA_026223795.1
Klebsiella aerogenes,,2017.0,Roraima,GCA_031150025.1,SAMN36786032,RR,Norte,GCA_031150025.1_ASM3115002v1_genomic,6.0,1.0,0.0,7.0,0.0,15.0,3.0,1.0,5.0,25.0,0.0,0.0,3.0,0.0,GCA_031150025.1
Klebsiella aerogenes,Tracheal secretion,2017.0,Roraima,GCA_031150045.1,SAMN36786031,RR,Norte,GCA_031150045.1_ASM3115004v1_genomic,5.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,6.0,14.0,0.0,0.0,3.0,0.0,GCA_031150045.1
Klebsiella aerogenes,Subclavian vein catheter tip,2017.0,Roraima,GCA_031150075.1,SAMN36786030,RR,Norte,GCA_031150075.1_ASM3115007v1_genomic,5.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,6.0,14.0,0.0,0.0,3.0,0.0,GCA_031150075.1
Klebsiella aerogenes,sputum,2022.0,Rio de Janeiro,GCA_031150065.1,SAMN36786033,RJ,Sudeste,GCA_031150065.1_ASM3115006v1_genomic,6.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,6.0,14.0,0.0,0.0,3.0,0.0,GCA_031150065.1
Klebsiella aerogenes,,2012.0,Brazil,GCF_001472725.1,SAMN04252930,,,GCF_001472725.1_SMART_773.v1_genomic,5.0,2.0,0.0,8.0,0.0,18.0,1.0,1.0,6.0,26.0,0.0,0.0,3.0,0.0,GCF_001472725.1
Klebsiella aerogenes,,2012.0,Brazil,GCF_001472755.1,SAMN04252931,,,GCF_001472755.1_SMART_774.v1_genomic,5.0,2.0,0.0,8.0,0.0,18.0,1.0,1.0,6.0,26.0,0.0,0.0,3.0,0.0,GCF_001472755.1
Klebsiella aerogenes,urine,2019.0,Brazil,GCA_036281845.1,SAMN38600911,,,GCA_036281845.1_ASM3628184v1_genomic,6.0,2.0,0.0,8.0,0.0,0.0,2.0,1.0,6.0,15.0,0.0,0.0,3.0,0.0,GCA_036281845.1
Klebsiella aerogenes,rectal swab,2011.0,Brazil,GCF_001649605.1,SAMN05068064,,,GCF_001649605.1_ASM164960v1_genomic,5.0,2.0,0.0,8.0,0.0,17.0,1.0,1.0,6.0,26.0,0.0,0.0,3.0,0.0,GCF_001649605.1
Klebsiella aerogenes,bronchoalveolar lavage fluid,2006.0,Brazil,GCF_001662695.1,SAMN04550333,,,GCF_001662695.1_ASM166269v1_genomic,6.0,2.0,0.0,8.0,0.0,16.0,3.0,1.0,6.0,25.0,0.0,0.0,3.0,0.0,GCF_001662695.1
Klebsiella aerogenes,catheter from patient in intensive care unit,2007.0,Hospital de Clinicas of Universidade Federal do Parana,GCF_001662705.1,SAMN04496843,PR,Sul,GCF_001662705.1_ASM166270v1_genomic,6.0,2.0,0.0,8.0,0.0,17.0,3.0,1.0,6.0,26.0,0.0,0.0,3.0,0.0,GCF_001662705.1
Klebsiella aerogenes,Urine,2012.0,Brazil,GCF_001662715.1,SAMN04550335,,,GCF_001662715.1_ASM166271v1_genomic,6.0,2.0,0.0,8.0,0.0,16.0,3.0,1.0,6.0,25.0,0.0,0.0,3.0,0.0,GCF_001662715.1
Klebsiella aerogenes,Blood,2007.0,Curitiba,GCF_001662765.1,SAMN04445568,PR,Sul,GCF_001662765.1_ASM166276v1_genomic,6.0,2.0,0.0,8.0,0.0,17.0,3.0,1.0,6.0,25.0,0.0,0.0,3.0,0.0,GCF_001662765.1
Klebsiella aerogenes,tracheal aspirate,2019.0,Tocantis,GCA_043565255.1,SAMN44283669,,,GCA_043565255.1_ASM4356525v1_genomic,6.0,2.0,0.0,8.0,0.0,16.0,3.0,1.0,6.0,26.0,0.0,0.0,3.0,0.0,GCA_043565255.1
Klebsiella aerogenes,swab,2016.0,Sao Paulo,GCA_006517605.1,SAMN09272524,SP,Sul,GCA_006517605.1_ASM651760v1_genomic,6.0,2.0,0.0,8.0,0.0,16.0,1.0,1.0,6.0,26.0,0.0,0.0,3.0,0.0,GCA_006517605.1
Enterobacter hormaechei,urine,2013.0,Sao Jose do Rio Preto,GCA_002154845.1,SAMN06279419,SP,Sul,GCA_002154845.1_ASM215484v1_genomic,5.0,1.0,8.0,20.0,0.0,0.0,2.0,1.0,36.0,8.0,0.0,0.0,4.0,0.0,GCA_002154845.1
Enterobacter hormaechei,urine,2013.0,Sao Jose do Rio Preto,GCA_002154865.1,SAMN06279418,SP,Sul,GCA_002154865.1_ASM215486v1_genomic,5.0,2.0,3.0,19.0,0.0,0.0,2.0,1.0,36.0,22.0,0.0,0.0,4.0,0.0,GCA_002154865.1
Enterobacter hormaechei,urine,2013.0,Sao Jose do Rio Preto,GCA_002154935.1,SAMN06279417,SP,Sul,GCA_002154935.1_ASM215493v1_genomic,5.0,1.0,8.0,16.0,0.0,0.0,2.0,1.0,37.0,8.0,0.0,0.0,4.0,0.0,GCA_002154935.1
Enterobacter cloacae,urine,2018.0,Sao Jose do Rio Preto,GCA_024655305.1,SAMN29439645,SP,Sul,GCA_024655305.1_ASM2465530v1_genomic,8.0,2.0,7.0,22.0,0.0,0.0,2.0,1.0,34.0,6.0,0.0,0.0,4.0,0.0,GCA_024655305.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694025.1,SAMN21382858,SP,Sul,GCA_022694025.1_ASM2269402v1_genomic,31.0,1.0,0.0,40.0,0.0,1.0,1.0,11.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022694025.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694035.1,SAMN21381419,SP,Sul,GCA_022694035.1_ASM2269403v1_genomic,31.0,1.0,0.0,40.0,0.0,1.0,1.0,11.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022694035.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694085.1,SAMN21383387,SP,Sul,GCA_022694085.1_ASM2269408v1_genomic,37.0,1.0,0.0,32.0,0.0,0.0,3.0,3.0,19.0,36.0,0.0,0.0,5.0,0.0,GCA_022694085.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694045.1,SAMN21382254,SP,Sul,GCA_022694045.1_ASM2269404v1_genomic,32.0,1.0,0.0,36.0,0.0,0.0,1.0,17.0,19.0,31.0,0.0,0.0,5.0,0.0,GCA_022694045.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694095.1,SAMN21383360,SP,Sul,GCA_022694095.1_ASM2269409v1_genomic,23.0,1.0,0.0,10.0,0.0,2.0,1.0,4.0,19.0,26.0,0.0,0.0,5.0,0.0,GCA_022694095.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694125.1,SAMN21383416,SP,Sul,GCA_022694125.1_ASM2269412v1_genomic,23.0,1.0,0.0,10.0,0.0,2.0,1.0,4.0,19.0,26.0,0.0,0.0,5.0,0.0,GCA_022694125.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694165.1,SAMN21383417,SP,Sul,GCA_022694165.1_ASM2269416v1_genomic,27.0,1.0,0.0,35.0,0.0,1.0,1.0,3.0,19.0,15.0,0.0,0.0,5.0,0.0,GCA_022694165.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694145.1,SAMN21383679,SP,Sul,GCA_022694145.1_ASM2269414v1_genomic,28.0,1.0,0.0,25.0,0.0,0.0,1.0,12.0,19.0,39.0,0.0,0.0,5.0,0.0,GCA_022694145.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694245.1,SAMN21383595,SP,Sul,GCA_022694245.1_ASM2269424v1_genomic,23.0,1.0,0.0,10.0,0.0,2.0,1.0,5.0,19.0,26.0,0.0,0.0,5.0,0.0,GCA_022694245.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694415.1,SAMN23404508,SP,Sul,GCA_022694415.1_ASM2269441v1_genomic,27.0,1.0,0.0,11.0,0.0,0.0,1.0,3.0,19.0,15.0,0.0,0.0,5.0,0.0,GCA_022694415.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694385.1,SAMN23402391,SP,Sul,GCA_022694385.1_ASM2269438v1_genomic,22.0,1.0,0.0,35.0,0.0,0.0,8.0,4.0,19.0,20.0,0.0,0.0,5.0,0.0,GCA_022694385.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694405.1,SAMN23404404,SP,Sul,GCA_022694405.1_ASM2269440v1_genomic,22.0,1.0,0.0,35.0,0.0,0.0,8.0,4.0,19.0,20.0,0.0,0.0,5.0,0.0,GCA_022694405.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694225.1,SAMN23383000,SP,Sul,GCA_022694225.1_ASM2269422v1_genomic,28.0,1.0,0.0,25.0,0.0,1.0,1.0,12.0,19.0,39.0,0.0,0.0,5.0,0.0,GCA_022694225.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694205.1,SAMN21383753,SP,Sul,GCA_022694205.1_ASM2269420v1_genomic,38.0,1.0,0.0,35.0,0.0,0.0,1.0,3.0,18.0,20.0,0.0,0.0,5.0,0.0,GCA_022694205.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694175.1,SAMN21383708,SP,Sul,GCA_022694175.1_ASM2269417v1_genomic,28.0,1.0,0.0,25.0,0.0,0.0,1.0,12.0,19.0,39.0,0.0,0.0,5.0,0.0,GCA_022694175.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694335.1,SAMN23383875,SP,Sul,GCA_022694335.1_ASM2269433v1_genomic,26.0,1.0,0.0,17.0,0.0,1.0,1.0,17.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022694335.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694365.1,SAMN23383043,SP,Sul,GCA_022694365.1_ASM2269436v1_genomic,26.0,1.0,0.0,17.0,0.0,1.0,1.0,17.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022694365.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694265.1,SAMN23383013,SP,Sul,GCA_022694265.1_ASM2269426v1_genomic,28.0,1.0,0.0,25.0,0.0,1.0,1.0,12.0,19.0,39.0,0.0,0.0,5.0,0.0,GCA_022694265.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694305.1,SAMN23383039,SP,Sul,GCA_022694305.1_ASM2269430v1_genomic,26.0,1.0,0.0,17.0,0.0,1.0,1.0,17.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022694305.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694325.1,SAMN23383053,SP,Sul,GCA_022694325.1_ASM2269432v1_genomic,22.0,1.0,0.0,11.0,1.0,0.0,3.0,4.0,19.0,26.0,0.0,0.0,5.0,0.0,GCA_022694325.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758365.1,SAMN23404509,SP,Sul,GCA_022758365.1_ASM2275836v1_genomic,24.0,1.0,0.0,25.0,0.0,1.0,1.0,12.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022758365.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758395.1,SAMN26234274,SP,Sul,GCA_022758395.1_ASM2275839v1_genomic,24.0,1.0,0.0,25.0,0.0,0.0,1.0,17.0,18.0,23.0,0.0,0.0,5.0,0.0,GCA_022758395.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758385.1,SAMN23405798,SP,Sul,GCA_022758385.1_ASM2275838v1_genomic,27.0,1.0,0.0,26.0,0.0,0.0,6.0,3.0,12.0,26.0,0.0,0.0,5.0,0.0,GCA_022758385.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758445.1,SAMN26232720,SP,Sul,GCA_022758445.1_ASM2275844v1_genomic,30.0,1.0,0.0,14.0,0.0,0.0,1.0,12.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022758445.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758425.1,SAMN26232718,SP,Sul,GCA_022758425.1_ASM2275842v1_genomic,34.0,1.0,0.0,5.0,0.0,6.0,1.0,11.0,18.0,37.0,0.0,0.0,5.0,0.0,GCA_022758425.1
Escherichia coli,rectal swab,2020.0,Sao Paulo,GCA_022758485.1,SAMN26232721,SP,Sul,GCA_022758485.1_ASM2275848v1_genomic,22.0,1.0,0.0,14.0,0.0,1.0,1.0,12.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022758485.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758465.1,SAMN26232715,SP,Sul,GCA_022758465.1_ASM2275846v1_genomic,34.0,1.0,0.0,5.0,0.0,6.0,1.0,11.0,18.0,37.0,0.0,0.0,5.0,0.0,GCA_022758465.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758505.1,SAMN23385281,SP,Sul,GCA_022758505.1_ASM2275850v1_genomic,37.0,1.0,0.0,17.0,0.0,22.0,1.0,11.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022758505.1
Escherichia coli,rectal swab,2020.0,Sao Paulo,GCA_022758525.1,SAMN22580313,SP,Sul,GCA_022758525.1_ASM2275852v1_genomic,33.0,1.0,0.0,26.0,0.0,1.0,2.0,11.0,18.0,28.0,0.0,0.0,5.0,0.0,GCA_022758525.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758545.1,SAMN23385328,SP,Sul,GCA_022758545.1_ASM2275854v1_genomic,37.0,1.0,0.0,17.0,0.0,22.0,1.0,11.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022758545.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758565.1,SAMN23404403,SP,Sul,GCA_022758565.1_ASM2275856v1_genomic,27.0,1.0,0.0,11.0,0.0,0.0,1.0,3.0,19.0,15.0,0.0,0.0,5.0,0.0,GCA_022758565.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758585.1,SAMN23404511,SP,Sul,GCA_022758585.1_ASM2275858v1_genomic,23.0,1.0,0.0,41.0,0.0,0.0,1.0,4.0,18.0,23.0,0.0,0.0,5.0,0.0,GCA_022758585.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758595.1,SAMN23404510,SP,Sul,GCA_022758595.1_ASM2275859v1_genomic,35.0,1.0,0.0,14.0,0.0,23.0,2.0,11.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022758595.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758625.1,SAMN26232767,SP,Sul,GCA_022758625.1_ASM2275862v1_genomic,27.0,1.0,0.0,35.0,0.0,0.0,1.0,3.0,19.0,15.0,0.0,0.0,5.0,0.0,GCA_022758625.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758645.1,SAMN26233599,SP,Sul,GCA_022758645.1_ASM2275864v1_genomic,21.0,1.0,0.0,17.0,0.0,0.0,8.0,3.0,12.0,15.0,0.0,0.0,5.0,0.0,GCA_022758645.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758665.1,SAMN26233567,SP,Sul,GCA_022758665.1_ASM2275866v1_genomic,38.0,1.0,0.0,13.0,0.0,0.0,1.0,3.0,19.0,20.0,0.0,0.0,5.0,0.0,GCA_022758665.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758685.1,SAMN22645453,SP,Sul,GCA_022758685.1_ASM2275868v1_genomic,38.0,1.0,0.0,25.0,0.0,1.0,1.0,11.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022758685.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758725.1,SAMN22645457,SP,Sul,GCA_022758725.1_ASM2275872v1_genomic,17.0,1.0,0.0,25.0,0.0,0.0,2.0,10.0,18.0,23.0,0.0,0.0,5.0,0.0,GCA_022758725.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758705.1,SAMN22650189,SP,Sul,GCA_022758705.1_ASM2275870v1_genomic,17.0,1.0,0.0,25.0,0.0,0.0,2.0,10.0,18.0,23.0,0.0,0.0,5.0,0.0,GCA_022758705.1
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758745.1,SAMN23429728,SP,Sul,GCA_022758745.1_ASM2275874v1_genomic,26.0,1.0,0.0,17.0,0.0,1.0,1.0,17.0,18.0,39.0,0.0,0.0,5.0,0.0,GCA_022758745.1
